

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   36761.09  0.0       0.0       5000.0    37729.6   24.0      37.93     -8180.85  -13394.55 -21575.4 
lh        0.0-0.01  36393.48  0.0       76.05     5000.01   37729.59  23.83     38.16     -8152.17  -13532.78 -21684.95
lh        0.0-0.02  36025.87  0.0       152.1     5000.01   37729.58  23.66     38.39     -8124.09  -13670.21 -21794.3 
lh        0.0-0.03  35658.26  0.0       228.14    4999.99   37729.61  23.5      38.61     -8096.0   -13808.48 -21904.48
lh        0.0-0.04  35290.65  0.0       304.19    5000.0    37729.6   23.33     38.83     -8067.32  -13946.71 -22014.03
lh        0.0-0.05  34923.04  0.0       380.24    5000.01   37729.59  23.16     39.04     -8039.26  -14084.93 -22124.19
lh        0.0-0.06  34555.42  0.0       456.29    5000.01   37729.59  22.99     39.25     -8011.18  -14222.37 -22233.55
lh        0.0-0.07  34187.81  0.0       532.34    5000.01   37729.59  22.82     39.45     -7982.49  -14360.61 -22343.1 
lh        0.0-0.08  33820.2   0.0       608.38    4999.99   37729.61  22.65     39.65     -7954.4   -14498.87 -22453.27
lh        0.0-0.09  33452.59  0.0       684.43    5000.0    37729.6   22.48     39.85     -7926.33  -14636.3  -22562.63
lh        0.0-0.1   33084.98  0.0       760.48    5000.0    37729.59  22.31     40.04     -7897.64  -14774.52 -22672.16
lh        0.0-0.11  32717.37  0.0       836.53    5000.01   37729.59  22.14     40.22     -7881.17  -14912.76 -22793.93
lh        0.0-0.12  32349.76  0.0       912.57    4999.99   37729.61  21.98     40.41     -7885.43  -15051.02 -22936.45
lh        0.0-0.13  31982.15  0.0       988.62    5000.0    37729.6   21.81     40.59     -7905.58  -15188.45 -23094.03
lh        0.0-0.14  31614.54  0.0       1064.67   5000.0    37729.6   21.64     40.77     -7937.93  -15326.69 -23264.62
lh        0.0-0.15  31246.93  0.0       1140.72   5000.01   37729.59  21.47     40.94     -7981.27  -15464.91 -23446.18
lh        0.0-0.16  30879.32  0.0       1216.77   5000.02   37729.58  21.3      41.11     -8033.77  -15602.34 -23636.11
lh        0.0-0.17  30511.7   0.0       1292.81   4999.99   37729.61  21.13     41.28     -8094.78  -15740.61 -23835.39
lh        0.0-0.18  30144.09  0.0       1368.86   4999.99   37729.6   20.96     41.44     -8162.53  -15878.84 -24041.37
lh        0.0-0.19  29776.48  0.0       1444.91   5000.0    37729.6   20.79     41.6      -8236.39  -16017.08 -24253.47
lh        0.0-0.2   29408.87  0.0       1520.96   5000.01   37729.59  20.63     41.76     -8316.36  -16154.51 -24470.87
lh        0.0-0.21  29041.26  0.0       1597.01   5000.01   37729.58  20.46     41.91     -8401.19  -16292.73 -24693.92
lh        0.0-0.22  28673.65  0.0       1673.05   4999.99   37729.61  20.29     42.06     -8491.51  -16431.0  -24922.51
