

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   27261.09  0.0       0.0       5000.0    43397.49  10.4      40.12     -5815.12  -15406.98 -21222.1 
lh        0.0-0.01  26988.48  0.0       56.4      5000.02   43397.47  9.98      40.26     -5740.07  -15509.14 -21249.21
lh        0.0-0.02  26715.87  0.0       112.79    5000.0    43397.49  9.57      40.39     -5666.81  -15611.34 -21278.15
lh        0.0-0.03  26443.26  0.0       169.19    5000.02   43397.47  9.16      40.52     -5595.42  -15713.5  -21308.92
lh        0.0-0.04  26170.65  0.0       225.58    5000.0    43397.49  8.76      40.64     -5525.82  -15815.7  -21341.52
lh        0.0-0.05  25898.04  0.0       281.98    5000.02   43397.47  8.37      40.77     -5458.09  -15918.8  -21376.89
lh        0.0-0.06  25625.42  0.0       338.37    5000.0    43397.49  7.99      40.89     -5393.37  -16021.0  -21414.37
lh        0.0-0.07  25352.81  0.0       394.77    5000.01   43397.48  7.65      41.02     -5332.35  -16123.17 -21455.52
lh        0.0-0.08  25080.2   0.0       451.16    5000.0    43397.49  7.37      41.14     -5276.79  -16225.36 -21502.15
lh        0.0-0.09  24807.59  0.0       507.56    5000.01   43397.48  7.17      41.26     -5231.64  -16327.53 -21559.17
lh        0.0-0.1   24534.98  0.0       563.95    5000.0    43397.49  6.97      41.37     -5209.05  -16429.72 -21638.77
lh        0.0-0.11  24262.37  0.0       620.35    5000.01   43397.48  6.78      41.49     -5188.3   -16532.83 -21721.13
lh        0.0-0.12  23989.76  0.0       676.74    5000.0    43397.49  6.58      41.6      -5167.54  -16635.02 -21802.56
lh        0.0-0.13  23717.15  0.0       733.14    5000.01   43397.48  6.38      41.72     -5146.19  -16737.19 -21883.38
lh        0.0-0.14  23444.54  0.0       789.53    5000.0    43397.49  6.18      41.83     -5125.43  -16839.39 -21964.82
lh        0.0-0.15  23171.93  0.0       845.93    5000.01   43397.48  5.99      41.94     -5104.69  -16941.56 -22046.25
lh        0.0-0.16  22899.32  0.0       902.32    5000.0    43397.49  5.79      42.05     -5083.31  -17043.75 -22127.06
lh        0.0-0.17  22626.7   0.0       958.72    5000.0    43397.48  5.59      42.15     -5062.56  -17146.86 -22209.42
lh        0.0-0.18  22354.09  0.0       1015.11   4999.99   43397.5   5.39      42.26     -5041.8   -17249.06 -22290.86
lh        0.0-0.19  22081.48  0.0       1071.51   5000.0    43397.48  5.19      42.36     -5020.45  -17351.22 -22371.67
lh        0.0-0.2   21808.87  0.0       1127.9    4999.99   43397.5   5.0       42.46     -4999.68  -17453.42 -22453.1 
lh        0.0-0.21  21536.26  0.0       1184.3    5000.0    43397.48  4.8       42.57     -4978.94  -17555.58 -22534.52
lh        0.0-0.22  21263.65  0.0       1240.69   4999.99   43397.5   4.74      42.67     -4960.01  -17658.72 -22618.73
lh        0.0-0.23  20991.04  0.0       1297.09   5000.0    43397.48  4.88      42.76     -4978.33  -17760.88 -22739.21
lh        0.0-0.24  20718.43  0.0       1353.48   4999.99   43397.5   5.06      42.86     -5012.5   -17863.08 -22875.58
lh        0.0-0.25  20445.82  0.0       1409.88   5000.0    43397.48  5.26      42.96     -5056.46  -17965.24 -23021.7 
