

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   37261.09  0.0       0.0       5000.0    37431.29  30.0      37.79     -10440.37 -13288.75 -23729.12
lh        0.0-0.01  36888.48  0.0       77.08     5000.0    37431.29  29.87     38.03     -10411.68 -13428.1  -23839.78
lh        0.0-0.02  36515.87  0.0       154.16    4999.99   37431.3   29.74     38.26     -10382.99 -13568.26 -23951.25
lh        0.0-0.03  36143.26  0.0       231.25    5000.01   37431.28  29.61     38.49     -10354.32 -13708.38 -24062.7 
lh        0.0-0.04  35770.65  0.0       308.33    5000.01   37431.28  29.48     38.72     -10325.63 -13848.53 -24174.16
lh        0.0-0.05  35398.04  0.0       385.41    5000.0    37431.29  29.34     38.93     -10296.94 -13987.89 -24284.83
lh        0.0-0.06  35025.42  0.0       462.49    4999.99   37431.3   29.21     39.15     -10278.01 -14128.04 -24406.05
lh        0.0-0.07  34652.81  0.0       539.58    5000.01   37431.28  29.08     39.36     -10270.7  -14268.17 -24538.87
lh        0.0-0.08  34280.2   0.0       616.66    5000.01   37431.28  28.95     39.56     -10275.58 -14407.52 -24683.1 
lh        0.0-0.09  33907.59  0.0       693.74    5000.0    37431.29  28.82     39.76     -10290.22 -14547.68 -24837.9 
lh        0.0-0.1   33534.98  0.0       770.82    4999.99   37431.29  28.69     39.96     -10314.02 -14687.82 -25001.84
lh        0.0-0.11  33162.37  0.0       847.9     4999.99   37431.3   28.55     40.15     -10346.36 -14827.18 -25173.54
lh        0.0-0.12  32789.76  0.0       924.99    5000.01   37431.28  28.42     40.34     -10386.67 -14967.31 -25353.98
lh        0.0-0.13  32417.15  0.0       1002.07   5000.0    37431.28  28.29     40.52     -10433.65 -15107.45 -25541.1 
lh        0.0-0.14  32044.54  0.0       1079.15   5000.0    37431.29  28.16     40.7      -10487.37 -15246.82 -25734.19
lh        0.0-0.15  31671.93  0.0       1156.23   4999.99   37431.29  28.03     40.88     -10546.56 -15386.96 -25933.52
lh        0.0-0.16  31299.32  0.0       1233.32   5000.02   37431.27  27.9      41.05     -10611.29 -15527.09 -26138.38
lh        0.0-0.17  30926.7   0.0       1310.4    5000.0    37431.28  27.76     41.22     -10681.46 -15666.45 -26347.91
lh        0.0-0.18  30554.09  0.0       1387.48   5000.0    37431.29  27.63     41.39     -10755.92 -15806.61 -26562.53
lh        0.0-0.19  30181.48  0.0       1464.56   4999.99   37431.3   27.5      41.56     -10835.26 -15946.76 -26782.02
lh        0.0-0.2   29808.87  0.0       1541.64   4999.99   37431.3   27.37     41.72     -10918.26 -16086.11 -27004.37
lh        0.0-0.21  29436.26  0.0       1618.73   5000.01   37431.28  27.24     41.87     -11005.56 -16226.24 -27231.8 
lh        0.0-0.22  29063.65  0.0       1695.81   5000.0    37431.28  27.11     42.03     -11095.89 -16366.38 -27462.27
lh        0.0-0.23  28691.04  0.0       1772.89   5000.0    37431.29  26.97     42.18     -11190.49 -16505.75 -27696.24
lh        0.0-0.24  28318.43  0.0       1849.97   4999.99   37431.3   26.84     42.33     -11287.53 -16645.9  -27933.43
lh        0.0-0.25  27945.82  0.0       1927.06   5000.01   37431.27  26.71     42.48     -11388.25 -16786.02 -28174.27
lh        0.0-0.26  27573.21  0.0       2004.14   5000.01   37431.28  26.58     42.62     -11491.4  -16925.38 -28416.78
lh        0.0-0.27  27200.6   0.0       2081.22   5000.0    37431.29  26.45     42.76     -11597.6  -17065.54 -28663.14
lh        0.0-0.28  26827.98  0.0       2158.3    4999.99   37431.3   26.32     42.9      -11706.84 -17205.69 -28912.53
lh        0.0-0.29  26455.37  0.0       2235.38   4999.99   37431.3   26.18     43.03     -11817.92 -17345.04 -29162.96
