type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk%  	B_Risk%   	SO_Risk%  	O_Risk%   	SB_VaR    	B_VaR     	SO_VaR    	O_VaR     	T_VaR     	SB_CVaR   	B_CVaR    	SO_CVaR   	O_CVaR    	ST_CVaR   	T_CVaR    
lh        	0.0-0.32  	25459.385 	0.0       	2478.493  	5106.90467225	5106.90467225	25.19     	25.30930974	18.977    	19.02731026	-12129.00369984	-12156.389699	-6319.75996274	-6310.97922662	-18467.36892562	-14649.02609671	-14673.54390771	-6490.0573426	-6483.61326989	-21139.08343931	-21157.1571776
lh        	0.0-0.33  	25084.9823	0.0       	2555.9459 	5106.90467225	5106.90467225	25.249    	25.17703214	20.099    	20.19013916	-12352.5411954	-12277.21406529	-6468.75801056	-6451.54053366	-18728.75459895	-14887.11398376	-14840.1947585	-6641.79731037	-6627.4010055	-21528.91129413	-21467.595764
lh        	0.0-0.34  	24710.5795	0.0       	2633.3988 	5106.90467225	5106.90467225	24.897    	25.04475454	21.369    	21.28456636	-12342.35560195	-12400.08011172	-6581.09788106	-6592.1018407	-18992.18195243	-14934.07577195	-15008.25989982	-6756.38524666	-6771.18874111	-21690.46101862	-21779.44864092
lh        	0.0-0.35  	24336.1768	0.0       	2710.8517 	5106.90467225	5106.90467225	24.766    	24.91247694	22.462    	22.31645486	-12536.95481806	-12524.90622814	-6733.77096597	-6732.66314775	-19257.56937589	-15183.79535467	-15177.68244063	-6917.53289389	-6914.97647671	-22101.32824855	-22092.65891734
lh        	0.0-0.36  	23961.7741	0.0       	2788.3046 	5106.90467225	5106.90467225	24.922    	24.78019934	23.418    	23.29101622	-12549.16691938	-12651.61605754	-6885.20670325	-6873.22445479	-19524.84051233	-15279.4850156	-15348.40918492	-7068.85871629	-7058.76421232	-22348.34373188	-22407.17339725
lh        	0.0-0.37  	23587.3714	0.0       	2865.7575 	5106.90467225	5106.90467225	24.755    	24.64792175	23.983    	24.2128986	-12720.82285037	-12780.13803829	-7045.19158366	-7013.78576183	-19793.92380013	-15493.84925796	-15520.39030591	-7233.85853554	-7202.55194793	-22727.70779351	-22722.94225384
lh        	0.0-0.38  	23212.9687	0.0       	2943.2104 	5106.90467225	5106.90467225	24.678    	24.51564415	25.063    	25.08626084	-12935.68401481	-12910.40499603	-7166.69150453	-7154.34706888	-20064.75206491	-15717.9542399	-15693.57905603	-7353.05882496	-7346.33968354	-23071.01306486	-23039.91873956
lh        	0.0-0.39  	22838.5659	0.0       	3020.6633 	5106.90467225	5106.90467225	24.645    	24.38336655	25.809    	25.91483528	-13117.20778266	-13042.35377874	-7310.54766242	-7294.90837592	-20337.26215466	-15886.35217122	-15867.93150814	-7505.22784544	-7490.12741914	-23391.58001666	-23358.05892729
lh        	0.0-0.4   	22464.1632	0.0       	3098.1162 	5106.90467225	5106.90467225	24.409    	24.25108895	26.634    	26.701981 	-13142.3705762	-13175.92492976	-7460.55333794	-7435.46968296	-20611.39461272	-16037.80995608	-16043.40632396	-7654.39300337	-7633.91515475	-23692.20295945	-23677.32147871
lh        	0.0-0.41  	22089.7605	0.0       	3175.5692 	5106.90467225	5106.90467225	24.166    	24.12385515	27.702    	27.45072936	-13317.93500555	-13311.06239385	-7559.9980843	-7576.03099001	-20887.09338385	-16207.2918624	-16219.96454616	-7758.09603462	-7777.70289036	-23965.38789701	-23997.66743652
lh        	0.0-0.42  	21715.3578	0.0       	3253.0221 	5106.90467225	5106.90467225	23.822    	24.01846252	28.319    	28.16382304	-13465.68624189	-13447.7132525	-7708.54772267	-7716.59229705	-21164.30554955	-16404.46383002	-16397.5694115	-7912.06006523	-7921.49062596	-24316.52389524	-24319.06003747
lh        	0.0-0.43  	21340.9551	0.0       	3330.475  	5106.90467225	5106.90467225	23.742    	23.93362813	28.78     	28.84374957	-13507.39534815	-13585.82748503	-7832.45190979	-7857.15360409	-21442.98108913	-16533.1854836	-16576.18618225	-8041.36699764	-8065.27836157	-24574.55248124	-24641.46454382
lh        	0.0-0.44  	20966.5523	0.0       	3407.9279 	5106.90467225	5106.90467225	23.763    	23.86686232	29.414    	29.49277035	-13684.61430428	-13725.35775237	-7986.66354021	-7997.71491114	-21723.07266351	-16736.37150588	-16755.78199385	-8203.15379133	-8209.06609718	-24939.52529721	-24964.84809102
lh        	0.0-0.45  	20592.1496	0.0       	3485.3808 	5106.90467225	5106.90467225	23.755    	23.81609446	30.192    	30.11294577	-13967.22092895	-13866.25920104	-8131.6119955	-8138.27621818	-22004.53541922	-16992.35889238	-16936.32571698	-8341.93024254	-8352.85383278	-25334.28913492	-25289.17954976
lh        	0.0-0.46  	20217.7469	0.0       	3562.8337 	5106.90467225	5106.90467225	23.719    	23.77958226	30.688    	30.70615703	-14046.8798721	-14008.48928515	-8271.40954047	-8278.83752522	-22287.32681037	-17113.58177727	-17117.78783236	-8492.64462634	-8496.64156839	-25606.22640361	-25614.42940075
lh        	0.0-0.47  	19843.3442	0.0       	3640.2866 	5106.90467225	5106.90467225	23.862    	23.75584495	31.223    	31.27412526	-14187.05493847	-14152.0076043	-8478.34107887	-8419.39883227	-22571.40643657	-17314.63954174	-17300.14031686	-8698.93412471	-8640.429304	-26013.57366645	-25940.56962086
lh        	0.0-0.48  	19468.9415	0.0       	3717.7395 	5106.90467225	5106.90467225	23.658    	23.743613 	31.591    	31.81842815	-14225.13657201	-14296.77575581	-8553.1136959	-8559.96013931	-22856.73589513	-17477.94084565	-17483.35653981	-8781.24629789	-8784.2170396	-26259.18714354	-26267.57357941
lh        	0.0-0.49  	19094.5387	0.0       	3795.1924 	5106.90467225	5106.90467225	23.585    	23.74178964	32.501    	32.3405146	-14443.1260124	-14442.75719972	-8680.52776404	-8700.52144635	-23143.27864607	-17591.12762976	-17667.41116823	-8907.95209551	-8928.00477521	-26499.07972527	-26595.41594345
lh        	0.0-0.5   	18720.136 	0.0       	3872.6453 	5106.90467225	5106.90467225	23.687    	23.74942086	32.612    	32.84171758	-14607.7036403	-14589.91713515	-8875.65535687	-8841.0827534	-23430.99988855	-17847.89306501	-17852.28008031	-9108.99624409	-9071.79251082	-26956.8893091	-26924.07259112
lh        	0.0-0.51  	18345.7333	0.0       	3950.0982 	5106.90467225	5106.90467225	23.692    	23.76567177	33.51     	33.32326555	-14750.36551641	-14738.22238717	-8970.98403427	-8981.64406044	-23719.86644761	-18060.83357122	-18037.94028599	-9205.2401469	-9215.58024642	-27266.07371812	-27253.52053241
lh        	0.0-0.52  	17971.3306	0.0       	4027.5511 	5106.90467225	5106.90467225	23.856    	23.78980764	33.848    	33.78629244	-14861.66238204	-14887.64130273	-9130.88631778	-9122.20536748	-24009.84667022	-18219.71159681	-18224.36985426	-9376.265901	-9359.36798203	-27595.9774978	-27583.7378363
lh        	0.0-0.53  	17596.9279	0.0       	4105.004  	5106.90467225	5106.90467225	23.616    	23.82117872	34.526    	34.23184662	-15125.93728215	-15038.14365506	-9254.4912099	-9262.76667453	-24300.91032959	-18505.48686145	-18411.54784623	-9494.64192673	-9503.15571764	-28000.12878817	-27914.70356387
