

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   32232.76  0.0       0.0       5000.0    40431.29  29.11     39.06     -10297.55 -14353.91 -24651.46
lh        0.0-0.01  31910.43  0.0       66.68     5000.0    40431.29  28.99     39.24     -10302.43 -14475.02 -24777.45
lh        0.0-0.02  31588.1   0.0       133.36    5000.0    40431.29  28.88     39.41     -10314.64 -14595.25 -24909.89
lh        0.0-0.03  31265.78  0.0       200.04    5000.0    40431.29  28.77     39.58     -10331.73 -14716.36 -25048.09
lh        0.0-0.04  30943.45  0.0       266.72    5000.0    40431.29  28.65     39.75     -10355.53 -14837.46 -25192.99
lh        0.0-0.05  30621.12  0.0       333.4     5000.0    40431.29  28.54     39.92     -10384.22 -14958.56 -25342.78
lh        0.0-0.06  30298.79  0.0       400.08    4999.99   40431.29  28.42     40.08     -10417.78 -15079.67 -25497.45
lh        0.0-0.07  29976.47  0.0       466.76    5000.0    40431.29  28.31     40.25     -10456.85 -15200.77 -25657.62
lh        0.0-0.08  29654.14  0.0       533.44    5000.0    40431.29  28.2      40.4      -10500.18 -15321.87 -25822.05
lh        0.0-0.09  29331.81  0.0       600.12    5000.0    40431.29  28.08     40.56     -10547.79 -15442.97 -25990.76
lh        0.0-0.1   29009.48  0.0       666.8     4999.99   40431.29  27.97     40.71     -10599.05 -15564.08 -26163.13
lh        0.0-0.11  28687.16  0.0       733.48    5000.0    40431.29  27.85     40.86     -10654.6  -15685.18 -26339.78
lh        0.0-0.12  28364.83  0.0       800.16    5000.0    40431.29  27.74     41.01     -10713.81 -15805.42 -26519.23
lh        0.0-0.13  28042.5   0.0       866.84    4999.99   40431.29  27.63     41.16     -10776.05 -15926.52 -26702.57
lh        0.0-0.14  27720.17  0.0       933.52    4999.99   40431.3   27.51     41.3      -10841.97 -16047.63 -26889.6 
lh        0.0-0.15  27397.85  0.0       1000.2    5000.0    40431.29  27.4      41.44     -10910.95 -16168.73 -27079.68
lh        0.0-0.16  27075.52  0.0       1066.88   5000.0    40431.29  27.29     41.58     -10982.36 -16289.83 -27272.19
lh        0.0-0.17  26753.19  0.0       1133.56   4999.99   40431.29  27.17     41.71     -11057.42 -16410.93 -27468.35
lh        0.0-0.18  26430.86  0.0       1200.24   4999.99   40431.3   27.06     41.85     -11134.33 -16532.05 -27666.38
lh        0.0-0.19  26108.54  0.0       1266.92   5000.0    40431.29  26.94     41.98     -11214.29 -16653.14 -27867.43
lh        0.0-0.2   25786.21  0.0       1333.6    4999.99   40431.29  26.83     42.11     -11296.68 -16774.24 -28070.92
lh        0.0-0.21  25463.88  0.0       1400.28   4999.99   40431.3   26.72     42.24     -11380.91 -16894.49 -28275.4 
lh        0.0-0.22  25141.55  0.0       1466.96   4999.99   40431.3   26.6      42.36     -11468.19 -17015.59 -28483.78
lh        0.0-0.23  24819.23  0.0       1533.64   5000.0    40431.29  26.49     42.49     -11556.7  -17136.69 -28693.39
lh        0.0-0.24  24496.9   0.0       1600.32   4999.99   40431.29  26.37     42.61     -11648.24 -17257.79 -28906.03
lh        0.0-0.25  24174.57  0.0       1667.0    4999.99   40431.3   26.26     42.73     -11741.02 -17378.9  -29119.92
lh        0.0-0.26  23852.24  0.0       1733.68   4999.99   40431.3   26.15     42.84     -11835.62 -17500.01 -29335.63
lh        0.0-0.27  23529.91  0.0       1800.36   4999.99   40431.3   26.03     42.96     -11932.67 -17621.11 -29553.78
lh        0.0-0.28  23207.59  0.0       1867.04   4999.99   40431.3   25.92     43.08     -12030.93 -17742.21 -29773.14
lh        0.0-0.29  22885.26  0.0       1933.72   4999.99   40431.3   25.81     43.19     -12131.03 -17863.32 -29994.35
lh        0.0-0.3   22562.93  0.0       2000.4    4999.99   40431.3   25.69     43.3      -12232.96 -17983.55 -30216.51
lh        0.0-0.31  22240.6   0.0       2067.08   4999.99   40431.3   25.58     43.41     -12336.11 -18104.66 -30440.77
lh        0.0-0.32  21918.28  0.0       2133.76   4999.99   40431.3   25.46     43.52     -12441.09 -18225.76 -30666.85
lh        0.0-0.33  21595.95  0.0       2200.44   4999.99   40431.3   25.35     43.62     -12547.29 -18346.86 -30894.15
lh        0.0-0.34  21273.62  0.0       2267.12   4999.99   40431.3   25.24     43.73     -12654.71 -18467.97 -31122.68
lh        0.0-0.35  20951.29  0.0       2333.8    4999.99   40431.3   25.12     43.83     -12763.97 -18589.07 -31353.04
lh        0.0-0.36  20628.97  0.0       2400.48   4999.99   40431.3   25.01     43.93     -12874.44 -18710.17 -31584.61
lh        0.0-0.37  20306.64  0.0       2467.16   4999.99   40431.3   24.89     44.03     -12986.14 -18831.27 -31817.41
lh        0.0-0.38  19984.31  0.0       2533.84   4999.99   40431.3   24.78     44.13     -13099.05 -18952.38 -32051.43
lh        0.0-0.39  19661.98  0.0       2600.52   4999.99   40431.3   24.67     44.23     -13213.19 -19073.48 -32286.67
lh        0.0-0.4   19339.66  0.0       2667.2    4999.99   40431.3   24.57     44.33     -13328.54 -19193.72 -32522.26
lh        0.0-0.41  19017.33  0.0       2733.88   4999.99   40431.3   24.49     44.42     -13445.12 -19314.82 -32759.94
lh        0.0-0.42  18695.0   0.0       2800.56   4999.99   40431.3   24.43     44.51     -13562.31 -19435.93 -32998.24
lh        0.0-0.43  18372.67  0.0       2867.24   4999.99   40431.3   24.37     44.61     -13680.72 -19557.03 -33237.75
lh        0.0-0.44  18050.35  0.0       2933.92   4999.99   40431.3   24.32     44.7      -13800.95 -19678.13 -33479.08
lh        0.0-0.45  17728.02  0.0       3000.6    4999.99   40431.3   24.29     44.79     -13921.19 -19799.23 -33720.42
lh        0.0-0.46  17405.69  0.0       3067.28   4999.99   40431.3   24.26     44.88     -14043.26 -19920.34 -33963.6 
lh        0.0-0.47  17083.36  0.0       3133.96   4999.98   40431.3   24.24     44.96     -14165.93 -20041.44 -34207.37
lh        0.0-0.48  16761.04  0.0       3200.64   4999.99   40431.3   24.23     45.05     -14289.24 -20162.54 -34451.78
lh        0.0-0.49  16438.71  0.0       3267.32   4999.99   40431.3   24.23     45.13     -14413.75 -20282.78 -34696.53
lh        0.0-0.5   16116.38  0.0       3334.0    4999.99   40431.3   24.23     45.22     -14539.48 -20403.88 -34943.36
lh        0.0-0.51  15794.05  0.0       3400.69   5000.01   40431.28  24.24     45.3      -14665.23 -20524.97 -35190.2 
lh        0.0-0.52  15471.72  0.0       3467.37   5000.01   40431.28  24.26     45.38     -14792.8  -20646.07 -35438.87
lh        0.0-0.53  15149.4   0.0       3534.05   5000.01   40431.27  24.28     45.46     -14920.36 -20767.16 -35687.52
lh        0.0-0.54  14827.07  0.0       3600.73   5000.01   40431.27  24.3      45.54     -15049.14 -20888.27 -35937.41
lh        0.0-0.55  14504.74  0.0       3667.41   5000.01   40431.28  24.33     45.62     -15179.15 -21009.38 -36188.53
lh        0.0-0.56  14182.41  0.0       3734.09   5000.01   40431.28  24.37     45.7      -15309.15 -21130.48 -36439.63
lh        0.0-0.57  13860.09  0.0       3800.77   5000.01   40431.27  24.41     45.78     -15440.38 -21251.58 -36691.96
lh        0.0-0.58  13537.76  0.0       3867.45   5000.01   40431.28  24.45     45.85     -15572.21 -21372.69 -36944.9 
lh        0.0-0.59  13215.43  0.0       3934.13   5000.01   40431.28  24.5      45.93     -15704.66 -21492.93 -37197.59
lh        0.0-0.6   12893.1   0.0       4000.81   5000.01   40431.28  24.55     46.0      -15838.33 -21614.03 -37452.36
