

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   52794.37  0.0       0.0       5000.0    14617.29  31.26     40.4      -7825.01  -10280.59 -18105.6 
lh        0.0-0.01  52266.43  0.0       134.01    5000.0    14617.29  30.7      40.71     -7753.6   -10350.09 -18103.69
lh        0.0-0.02  51738.48  0.0       268.02    5000.0    14617.29  30.12     41.0      -7682.19  -10419.59 -18101.78
lh        0.0-0.03  51210.54  0.0       402.02    4999.99   14617.3   29.54     41.3      -7611.38  -10488.16 -18099.54
lh        0.0-0.04  50682.6   0.0       536.03    5000.0    14617.29  28.94     41.59     -7539.98  -10557.65 -18097.63
lh        0.0-0.05  50154.65  0.0       670.04    5000.0    14617.29  28.32     41.87     -7468.57  -10626.21 -18094.78
lh        0.0-0.06  49626.71  0.0       804.05    5000.0    14617.29  27.7      42.15     -7397.16  -10695.71 -18092.87
lh        0.0-0.07  49098.76  0.0       938.06    5000.0    14617.29  27.06     42.43     -7325.74  -10764.27 -18090.01
lh        0.0-0.08  48570.82  0.0       1072.06   4999.99   14617.3   26.41     42.7      -7254.93  -10833.78 -18088.71
lh        0.0-0.09  48042.88  0.0       1206.07   5000.0    14617.29  25.75     42.97     -7183.53  -10902.33 -18085.86
lh        0.0-0.1   47514.93  0.0       1340.08   5000.0    14617.29  25.07     43.23     -7112.12  -10971.83 -18083.95
lh        0.0-0.11  46986.99  0.0       1474.09   5000.0    14617.29  24.38     43.49     -7040.71  -11040.39 -18081.1 
lh        0.0-0.12  46459.05  0.0       1608.09   4999.99   14617.3   23.69     43.74     -6969.29  -11109.9  -18079.19
lh        0.0-0.13  45931.1   0.0       1742.1    5000.0    14617.3   22.99     43.99     -6897.89  -11178.46 -18076.35
lh        0.0-0.14  45403.16  0.0       1876.11   5000.0    14617.29  22.29     44.24     -6827.09  -11247.95 -18075.04
lh        0.0-0.15  44875.21  0.0       2010.12   5000.0    14617.29  21.59     44.48     -6755.68  -11316.51 -18072.19
lh        0.0-0.16  44347.27  0.0       2144.13   5000.0    14617.29  20.9      44.71     -6684.27  -11386.01 -18070.28
lh        0.0-0.17  43819.33  0.0       2278.13   4999.99   14617.3   20.23     44.95     -6612.84  -11455.52 -18068.36
lh        0.0-0.18  43291.38  0.0       2412.14   5000.0    14617.3   19.64     45.18     -6541.44  -11524.08 -18065.52
lh        0.0-0.19  42763.44  0.0       2546.15   5000.0    14617.29  19.11     45.41     -6470.64  -11593.57 -18064.21
lh        0.0-0.2   42235.5   0.0       2680.16   5000.0    14617.29  18.57     45.63     -6399.23  -11662.13 -18061.36
lh        0.0-0.21  41707.55  0.0       2814.17   5000.0    14617.29  18.03     45.85     -6328.43  -11731.63 -18060.06
lh        0.0-0.22  41179.61  0.0       2948.17   5000.0    14617.3   17.5      46.06     -6261.9   -11800.2  -18062.1 
lh        0.0-0.23  40651.66  0.0       3082.18   5000.0    14617.3   16.96     46.27     -6199.65  -11869.7  -18069.35
lh        0.0-0.24  40123.72  0.0       3216.19   5000.0    14617.29  16.43     46.48     -6141.66  -11938.25 -18079.91
lh        0.0-0.25  39595.78  0.0       3350.2    5000.0    14617.29  15.89     46.69     -6086.73  -12007.75 -18094.48
lh        0.0-0.26  39067.83  0.0       3484.21   5000.0    14617.29  15.35     46.89     -6034.85  -12076.31 -18111.16
lh        0.0-0.27  38539.89  0.0       3618.21   5000.0    14617.3   14.82     47.09     -5984.8   -12145.82 -18130.62
lh        0.0-0.28  38011.95  0.0       3752.22   5000.0    14617.29  14.28     47.28     -5937.19  -12214.38 -18151.57
lh        0.0-0.29  37484.0   0.0       3886.23   5000.0    14617.29  13.75     47.48     -5892.03  -12283.88 -18175.91
lh        0.0-0.3   36956.06  0.0       4020.24   5000.0    14617.29  13.21     47.67     -5848.08  -12352.44 -18200.52
lh        0.0-0.31  36428.12  0.0       4154.24   4999.99   14617.3   12.67     47.85     -5805.96  -12421.95 -18227.91
lh        0.0-0.32  35900.17  0.0       4288.25   5000.0    14617.3   12.14     48.04     -5765.08  -12491.45 -18256.53
lh        0.0-0.33  35372.23  0.0       4422.26   5000.0    14617.29  11.6      48.22     -5726.01  -12560.0  -18286.01
lh        0.0-0.34  34844.28  0.0       4556.27   5000.0    14617.29  11.11     48.39     -5688.78  -12629.5  -18318.28
lh        0.0-0.35  34316.34  0.0       4690.28   5000.0    14617.29  10.64     48.57     -5652.16  -12698.06 -18350.22
lh        0.0-0.36  33788.4   0.0       4824.28   5000.0    14617.3   10.19     48.74     -5617.98  -12767.57 -18385.55
lh        0.0-0.37  33260.45  0.0       4958.29   5000.0    14617.3   9.77      48.91     -5584.41  -12836.13 -18420.54
lh        0.0-0.38  32732.51  0.0       5092.3    5000.0    14617.29  9.38      49.08     -5553.28  -12905.62 -18458.9 
lh        0.0-0.39  32204.57  0.0       5226.31   5000.0    14617.29  9.01      49.24     -5523.38  -12974.18 -18497.56
lh        0.0-0.4   31676.62  0.0       5360.32   5000.0    14617.29  8.66      49.4      -5495.3   -13043.68 -18538.98
lh        0.0-0.41  31148.68  0.0       5494.32   5000.0    14617.3   8.34      49.56     -5469.67  -13112.25 -18581.92
lh        0.0-0.42  30620.73  0.0       5628.33   5000.0    14617.3   8.04      49.72     -5445.86  -13181.75 -18627.61
lh        0.0-0.43  30092.79  0.0       5762.34   5000.0    14617.29  7.77      49.87     -5424.5   -13250.3  -18674.8 
