

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   37261.09  0.0       0.0       5000.0    22515.79  30.0      25.82     -10440.37 -7993.0   -18433.37
lh        0.0-0.01  36888.48  0.0       77.08     5000.0    22515.79  29.87     26.46     -10411.68 -8133.26  -18544.94
lh        0.0-0.02  36515.87  0.0       154.16    4999.99   22515.8   29.74     27.07     -10382.99 -8273.53  -18656.52
lh        0.0-0.03  36143.26  0.0       231.25    5000.01   22515.78  29.61     27.66     -10354.32 -8412.92  -18767.24
lh        0.0-0.04  35770.65  0.0       308.33    5000.01   22515.78  29.48     28.23     -10325.63 -8553.18  -18878.81
lh        0.0-0.05  35398.04  0.0       385.41    5000.0    22515.79  29.34     28.78     -10296.94 -8692.6   -18989.54
lh        0.0-0.06  35025.42  0.0       462.49    4999.99   22515.8   29.21     29.32     -10278.01 -8832.87  -19110.88
lh        0.0-0.07  34652.81  0.0       539.58    5000.01   22515.78  29.08     29.84     -10270.7  -8972.26  -19242.96
lh        0.0-0.08  34280.2   0.0       616.66    5000.01   22515.78  28.95     30.34     -10275.58 -9112.53  -19388.11
lh        0.0-0.09  33907.59  0.0       693.74    5000.0    22515.79  28.82     30.82     -10290.22 -9252.8   -19543.02
lh        0.0-0.1   33534.98  0.0       770.82    4999.99   22515.79  28.69     31.29     -10314.02 -9392.21  -19706.23
lh        0.0-0.11  33162.37  0.0       847.9     4999.99   22515.8   28.55     31.74     -10346.36 -9532.48  -19878.84
lh        0.0-0.12  32789.76  0.0       924.99    5000.01   22515.78  28.42     32.18     -10386.67 -9671.87  -20058.54
lh        0.0-0.13  32417.15  0.0       1002.07   5000.0    22515.78  28.29     32.61     -10433.65 -9812.13  -20245.78
lh        0.0-0.14  32044.54  0.0       1079.15   5000.0    22515.79  28.16     33.02     -10487.37 -9951.55  -20438.92
lh        0.0-0.15  31671.93  0.0       1156.23   4999.99   22515.8   28.03     33.42     -10546.56 -10091.82 -20638.38
lh        0.0-0.16  31299.32  0.0       1233.32   5000.02   22515.77  27.9      33.81     -10611.29 -10231.2  -20842.49
lh        0.0-0.17  30926.7   0.0       1310.4    5000.0    22515.78  27.76     34.19     -10681.46 -10371.47 -21052.93
lh        0.0-0.18  30554.09  0.0       1387.48   5000.0    22515.79  27.63     34.56     -10755.92 -10511.75 -21267.67
lh        0.0-0.19  30181.48  0.0       1464.56   4999.99   22515.8   27.5      34.91     -10835.26 -10651.16 -21486.42
lh        0.0-0.2   29808.87  0.0       1541.64   4999.99   22515.8   27.37     35.26     -10918.26 -10791.43 -21709.69
lh        0.0-0.21  29436.26  0.0       1618.73   5000.01   22515.78  27.24     35.59     -11005.56 -10930.81 -21936.37
lh        0.0-0.22  29063.65  0.0       1695.81   5000.0    22515.79  27.11     35.92     -11095.89 -11071.09 -22166.98
lh        0.0-0.23  28691.04  0.0       1772.89   5000.0    22515.79  26.97     36.24     -11190.49 -11210.5  -22400.99
lh        0.0-0.24  28318.43  0.0       1849.97   4999.99   22515.8   26.84     36.55     -11287.53 -11350.77 -22638.3 
lh        0.0-0.25  27945.82  0.0       1927.06   5000.01   22515.77  26.71     36.85     -11388.25 -11491.0  -22879.25
lh        0.0-0.26  27573.21  0.0       2004.14   5000.01   22515.78  26.58     37.14     -11491.4  -11630.42 -23121.82
lh        0.0-0.27  27200.6   0.0       2081.22   5000.0    22515.79  26.45     37.42     -11597.6  -11770.69 -23368.29
lh        0.0-0.28  26827.98  0.0       2158.3    4999.99   22515.8   26.32     37.7      -11706.84 -11910.11 -23616.95
lh        0.0-0.29  26455.37  0.0       2235.38   4999.99   22515.8   26.18     37.97     -11817.92 -12050.37 -23868.29
lh        0.0-0.3   26082.76  0.0       2312.47   5000.01   22515.78  26.05     38.24     -11932.08 -12189.76 -24121.84
lh        0.0-0.31  25710.15  0.0       2389.55   5000.0    22515.79  25.92     38.49     -12048.03 -12330.04 -24378.07
lh        0.0-0.32  25337.54  0.0       2466.63   5000.0    22515.79  25.79     38.74     -12165.83 -12469.44 -24635.27
lh        0.0-0.33  24964.93  0.0       2543.71   4999.99   22515.8   25.66     38.99     -12286.67 -12609.72 -24896.39
lh        0.0-0.34  24592.32  0.0       2620.79   4999.98   22515.8   25.53     39.22     -12408.73 -12749.98 -25158.71
lh        0.0-0.35  24219.71  0.0       2697.88   5000.01   22515.78  25.39     39.46     -12533.27 -12889.37 -25422.64
lh        0.0-0.36  23847.1   0.0       2774.96   5000.0    22515.79  25.26     39.68     -12659.0  -13029.64 -25688.64
lh        0.0-0.37  23474.49  0.0       2852.04   5000.0    22515.79  25.13     39.9      -12787.17 -13169.05 -25956.22
lh        0.0-0.38  23101.88  0.0       2929.12   4999.99   22515.8   25.0      40.12     -12917.17 -13309.32 -26226.49
lh        0.0-0.39  22729.26  0.0       3006.21   5000.01   22515.78  24.87     40.33     -13048.41 -13448.71 -26497.12
