

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   45641.63  0.0       0.0       5000.0    32431.29  31.49     35.12     -10831.6  -11513.26 -22344.86
lh        0.0-0.01  45185.21  0.0       94.42     5000.0    32431.29  31.33     35.5      -10756.53 -11684.7  -22441.23
lh        0.0-0.02  44728.8   0.0       188.84    5000.01   32431.28  31.17     35.87     -10696.73 -11856.14 -22552.87
lh        0.0-0.03  44272.38  0.0       283.26    5000.01   32431.28  31.01     36.23     -10658.88 -12027.58 -22686.46
lh        0.0-0.04  43815.96  0.0       377.68    5000.01   32431.28  30.85     36.58     -10624.09 -12199.03 -22823.12
lh        0.0-0.05  43359.55  0.0       472.1     5000.01   32431.28  30.69     36.91     -10588.69 -12370.47 -22959.16
lh        0.0-0.06  42903.13  0.0       566.51    4999.98   32431.3   30.52     37.24     -10553.87 -12541.94 -23095.81
lh        0.0-0.07  42446.72  0.0       660.93    4999.99   32431.3   30.36     37.56     -10519.09 -12712.72 -23231.81
lh        0.0-0.08  41990.3   0.0       755.35    4999.99   32431.3   30.2      37.87     -10483.69 -12884.16 -23367.85
lh        0.0-0.09  41533.88  0.0       849.77    4999.99   32431.3   30.04     38.17     -10448.9  -13055.61 -23504.51
lh        0.0-0.1   41077.47  0.0       944.19    5000.0    32431.29  29.88     38.46     -10413.51 -13227.04 -23640.55
lh        0.0-0.11  40621.05  0.0       1038.61   5000.0    32431.29  29.72     38.74     -10378.72 -13398.49 -23777.21
lh        0.0-0.12  40164.63  0.0       1133.03   5000.0    32431.29  29.56     39.02     -10343.32 -13569.93 -23913.25
lh        0.0-0.13  39708.22  0.0       1227.45   5000.0    32431.28  29.4      39.29     -10308.53 -13741.37 -24049.9 
lh        0.0-0.14  39251.8   0.0       1321.87   5000.0    32431.28  29.23     39.55     -10273.13 -13912.15 -24185.28
lh        0.0-0.15  38795.39  0.0       1416.29   5000.01   32431.28  29.07     39.8      -10238.35 -14083.59 -24321.94
lh        0.0-0.16  38338.97  0.0       1510.71   5000.01   32431.28  28.91     40.05     -10227.98 -14255.04 -24483.02
lh        0.0-0.17  37882.55  0.0       1605.12   4999.98   32431.3   28.75     40.29     -10245.04 -14426.5  -24671.54
lh        0.0-0.18  37426.14  0.0       1699.54   4999.99   32431.3   28.59     40.53     -10281.06 -14597.95 -24879.01
lh        0.0-0.19  36969.72  0.0       1793.96   4999.99   32431.3   28.43     40.75     -10331.72 -14769.39 -25101.11
lh        0.0-0.2   36513.3   0.0       1888.38   4999.99   32431.3   28.27     40.98     -10394.58 -14940.84 -25335.42
lh        0.0-0.21  36056.89  0.0       1982.8    5000.0    32431.29  28.11     41.19     -10467.83 -15111.6  -25579.43
lh        0.0-0.22  35600.47  0.0       2077.22   5000.0    32431.29  27.94     41.41     -10550.23 -15283.05 -25833.28
lh        0.0-0.23  35144.06  0.0       2171.64   5000.0    32431.28  27.78     41.61     -10640.56 -15454.49 -26095.05
lh        0.0-0.24  34687.64  0.0       2266.06   5000.0    32431.28  27.62     41.82     -10738.22 -15625.93 -26364.15
lh        0.0-0.25  34231.22  0.0       2360.48   5000.0    32431.28  27.46     42.01     -10842.59 -15797.38 -26639.97
lh        0.0-0.26  33774.81  0.0       2454.9    5000.01   32431.28  27.3      42.2      -10952.46 -15968.82 -26921.28
lh        0.0-0.27  33318.39  0.0       2549.32   5000.01   32431.28  27.14     42.39     -11068.43 -16140.27 -27208.7 
lh        0.0-0.28  32861.97  0.0       2643.73   4999.98   32431.31  26.98     42.58     -11189.25 -16311.07 -27500.32
lh        0.0-0.29  32405.56  0.0       2738.15   4999.99   32431.3   26.82     42.75     -11314.99 -16482.51 -27797.5 
lh        0.0-0.3   31949.14  0.0       2832.57   4999.99   32431.3   26.65     42.93     -11445.0  -16653.95 -28098.95
