type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	2242.2882 	0.875     	2628.5596 	5000.0    	37431.28795637	0.9044668 	44.20060224	-3560.20329953	-20233.25046999	-23793.45376953
tm        	2092.8023 	0.875     	2659.4838 	5000.0    	37431.28795637	1.06430661	44.24458882	-3639.5740041	-20285.00624658	-23924.58025068
tm        	1943.3165 	0.875     	2690.408  	5000.0    	37431.28795637	1.23469746	44.28830726	-3719.23200437	-20336.77393919	-24056.00594356
tm        	1793.8306 	0.875     	2721.3323 	5000.0    	37431.28795637	1.41519299	44.33175976	-3799.16832075	-20388.55348374	-24187.72180449
tm        	1644.3447 	0.875     	2752.2565 	5000.0    	37431.28795637	1.60537103	44.3749485	-3879.37444415	-20440.34481676	-24319.71926091
tm        	1494.8588 	0.875     	2783.1807 	5000.0    	37431.28795637	1.80483203	44.41787564	-3959.84230149	-20492.14787532	-24451.9901768
tm        	1345.3729 	0.875     	2814.105  	5000.0    	37431.28795637	2.01319756	44.46054333	-4040.56422429	-20543.9625971	-24584.52682139
tm        	1195.8871 	0.875     	2845.0292 	5000.0    	37431.28795637	2.23010899	44.50295368	-4121.53292034	-20595.78892036	-24717.3218407
tm        	1046.4012 	0.875     	2875.9534 	5000.0    	37431.28795637	2.45522624	44.54510878	-4202.74144776	-20647.62678388	-24850.36823164
tm        	896.9153  	0.875     	2906.8777 	5000.0    	37431.28795637	2.68822662	44.58701073	-4284.18319145	-20699.47612705	-24983.6593185
tm        	747.4294  	0.875     	2937.8019 	5000.0    	37431.28795637	2.92880377	44.62866158	-4365.85184154	-20751.33688976	-25117.1887313
tm        	597.9435  	0.875     	2968.7261 	5000.0    	37431.28795637	3.17666662	44.67006337	-4447.74137369	-20803.20901246	-25250.95038615
tm        	448.4576  	0.875     	2999.6503 	5000.0    	37431.28795637	3.43153851	44.71121813	-4529.84603093	-20855.09243615	-25384.93846708
tm        	298.9718  	0.875     	3030.5746 	5000.0    	37431.28795637	3.69315633	44.75212785	-4612.16030713	-20906.98710231	-25519.14740944
tm        	149.4859  	0.875     	3061.4988 	5000.0    	37431.28795637	3.96126967	44.79279452	-4694.67893162	-20958.892953	-25653.57188462
tm        	-0.0      	0.875     	3092.423  	5000.0    	37431.28795637	4.23564014	44.83322011	-4777.39685518	-21010.80993076	-25788.20678594
