type     	subtype  	reward   	rate     	salary   	B_ENPV   	O_ENPV   	B_Risk%  	O_Risk%  	B_VaR    	O_VaR    	T_VaR    
ls       	0.0-0    	37261.0882	0.0      	0.0      	5000.000011	37431.287945	30.001639	37.793531	-10440.156119	-13288.592748	-23728.748867
cp       	0.0-0    	37258.5382	0.0001   	0.0      	5000.000011	37431.287945	29.999639	37.793531	-10439.176955	-13288.592752	-23727.769707
cp       	0.0-0    	37255.9882	0.0002   	0.0      	5000.000011	37431.287945	29.997638	37.793531	-10438.197791	-13288.592763	-23726.790554
cp       	0.0-0    	37253.4382	0.0003   	0.0      	5000.000011	37431.287945	29.995637	37.793531	-10437.218627	-13288.592783	-23725.81141
cp       	0.0-0    	37250.8882	0.0004   	0.0      	5000.000011	37431.287945	29.993636	37.793531	-10436.239463	-13288.59281	-23724.832273
cp       	0.0-0    	37248.3382	0.0005   	0.0      	5000.000011	37431.287945	29.991634	37.793531	-10435.260299	-13288.592846	-23723.853145
cp       	0.0-0    	37245.7882	0.0006   	0.0      	5000.000011	37431.287945	29.989632	37.793531	-10434.281135	-13288.592888	-23722.874023
cp       	0.0-0    	37243.2382	0.0007   	0.0      	5000.000011	37431.287945	29.98763 	37.793532	-10433.301971	-13288.592939	-23721.89491
cp       	0.0-0    	37240.6882	0.0008   	0.0      	5000.000011	37431.287945	29.985627	37.793532	-10432.322808	-13288.592997	-23720.915805
cp       	0.0-0    	37238.1382	0.0009   	0.0      	5000.000011	37431.287945	29.983624	37.793532	-10431.343644	-13288.593063	-23719.936707
cp       	0.0-0    	37235.5882	0.001    	0.0      	5000.000011	37431.287945	29.98162 	37.793532	-10430.36448	-13288.593137	-23718.957617
cp       	0.0-0    	37233.0382	0.0011   	0.0      	5000.000011	37431.287945	29.979616	37.793533	-10429.385316	-13288.593219	-23717.978535
cp       	0.0-0    	37230.4882	0.0012   	0.0      	5000.000011	37431.287945	29.977612	37.793533	-10428.406152	-13288.593308	-23716.99946
cp       	0.0-0    	37227.9382	0.0013   	0.0      	5000.000011	37431.287945	29.975607	37.793534	-10427.426988	-13288.593405	-23716.020393
cp       	0.0-0    	37225.3882	0.0014   	0.0      	5000.000011	37431.287945	29.973602	37.793534	-10426.447824	-13288.59351	-23715.041334
cp       	0.0-0    	37222.8382	0.0015   	0.0      	5000.000011	37431.287945	29.971596	37.793535	-10425.46866	-13288.593623	-23714.062283
cp       	0.0-0    	37220.2882	0.0016   	0.0      	5000.000011	37431.287945	29.96959 	37.793535	-10424.489496	-13288.593744	-23713.08324
cp       	0.0-0    	37217.7382	0.0017   	0.0      	5000.000011	37431.287945	29.967584	37.793536	-10423.510332	-13288.593872	-23712.104204
cp       	0.0-0    	37215.1882	0.0018   	0.0      	5000.000011	37431.287945	29.965577	37.793536	-10422.531169	-13288.594008	-23711.125177
cp       	0.0-0    	37212.6382	0.0019   	0.0      	5000.000011	37431.287945	29.963569	37.793537	-10421.552005	-13288.594151	-23710.146156
cp       	0.0-0    	37210.0882	0.002    	0.0      	5000.000011	37431.287945	29.961562	37.793538	-10420.572841	-13288.594303	-23709.167144
cp       	0.0-0    	37207.5382	0.0021   	0.0      	5000.000011	37431.287945	29.959554	37.793539	-10419.593677	-13288.594462	-23708.188139
cp       	0.0-0    	37204.9882	0.0022   	0.0      	5000.000011	37431.287945	29.957545	37.793539	-10418.614513	-13288.594629	-23707.209142
cp       	0.0-0    	37202.4382	0.0023   	0.0      	5000.000011	37431.287945	29.955536	37.79354 	-10417.635349	-13288.594804	-23706.230153
cp       	0.0-0    	37199.8882	0.0024   	0.0      	5000.000011	37431.287945	29.953527	37.793541	-10416.656185	-13288.594987	-23705.251172
cp       	0.0-0    	37197.3382	0.0025   	0.0      	5000.000011	37431.287945	29.951517	37.793542	-10415.677021	-13288.595178	-23704.272199
cp       	0.0-0    	37194.7882	0.0026   	0.0      	5000.000011	37431.287945	29.949507	37.793543	-10414.697857	-13288.595376	-23703.293233
cp       	0.0-0    	37192.2382	0.0027   	0.0      	5000.000011	37431.287945	29.947497	37.793544	-10413.718693	-13288.595582	-23702.314275
cp       	0.0-0    	37189.6882	0.0028   	0.0      	5000.000011	37431.287945	29.945486	37.793545	-10412.73953	-13288.595796	-23701.335326
cp       	0.0-0    	37187.1382	0.0029   	0.0      	5000.000011	37431.287945	29.943475	37.793546	-10411.760365	-13288.596017	-23700.356382
cp       	0.0-0    	37184.5882	0.003    	0.0      	5000.000011	37431.287945	29.941463	37.793547	-10410.781201	-13288.596247	-23699.377448
cp       	0.0-0    	37182.0382	0.0031   	0.0      	5000.000011	37431.287945	29.939451	37.793548	-10409.802037	-13288.596484	-23698.398521
cp       	0.0-0    	37179.4882	0.0032   	0.0      	5000.000011	37431.287945	29.937438	37.793549	-10408.822873	-13288.596728	-23697.419601
cp       	0.0-0    	37176.9382	0.0033   	0.0      	5000.000011	37431.287945	29.935426	37.79355 	-10407.84371	-13288.596981	-23696.440691
cp       	0.0-0    	37174.3882	0.0034   	0.0      	5000.000011	37431.287945	29.933412	37.793551	-10406.864546	-13288.597242	-23695.461788
cp       	0.0-0    	37171.8382	0.0035   	0.0      	5000.000011	37431.287945	29.931399	37.793553	-10405.885382	-13288.59751	-23694.482892
cp       	0.0-0    	37169.2882	0.0036   	0.0      	5000.000011	37431.287945	29.929384	37.793554	-10404.906218	-13288.597786	-23693.504004
cp       	0.0-0    	37166.7382	0.0037   	0.0      	5000.000011	37431.287945	29.92737 	37.793555	-10403.927054	-13288.59807	-23692.525124
cp       	0.0-0    	37164.1882	0.0038   	0.0      	5000.000011	37431.287945	29.925355	37.793556	-10402.94789	-13288.598361	-23691.546251
cp       	0.0-0    	37161.6382	0.0039   	0.0      	5000.000011	37431.287945	29.92334 	37.793558	-10401.968726	-13288.598661	-23690.567387
cp       	0.0-0    	37159.0882	0.004    	0.0      	5000.000011	37431.287945	29.921324	37.793559	-10400.989562	-13288.598968	-23689.58853
cp       	0.0-0    	37156.5382	0.0041   	0.0      	5000.000011	37431.287945	29.919308	37.793561	-10400.010398	-13288.599282	-23688.60968
cp       	0.0-0    	37153.9882	0.0042   	0.0      	5000.000011	37431.287945	29.917291	37.793562	-10399.031234	-13288.599605	-23687.630839
cp       	0.0-0    	37151.4382	0.0043   	0.0      	5000.000011	37431.287945	29.915274	37.793564	-10398.05207	-13288.599935	-23686.652005
cp       	0.0-0    	37148.8882	0.0044   	0.0      	5000.000011	37431.287945	29.913257	37.793565	-10397.072907	-13288.600274	-23685.673181
cp       	0.0-0    	37146.3382	0.0045   	0.0      	5000.000011	37431.287945	29.911239	37.793567	-10396.093743	-13288.60062	-23684.694363
cp       	0.0-0    	37143.7882	0.0046   	0.0      	5000.000011	37431.287945	29.909221	37.793568	-10395.114579	-13288.600974	-23683.715553
cp       	0.0-0    	37141.2382	0.0047   	0.0      	5000.000011	37431.287945	29.907203	37.79357 	-10394.135415	-13288.601335	-23682.73675
cp       	0.0-0    	37138.6882	0.0048   	0.0      	5000.000011	37431.287945	29.905184	37.793572	-10393.156251	-13288.601705	-23681.757956
cp       	0.0-0    	37136.1382	0.0049   	0.0      	5000.000011	37431.287945	29.903164	37.793574	-10392.177087	-13288.602081	-23680.779168
cp       	0.0-0    	37133.5882	0.005    	0.0      	5000.000011	37431.287945	29.901144	37.793575	-10391.197923	-13288.602466	-23679.800389
cp       	0.01-0   	37131.0382	0.0051   	0.0      	5000.000011	37431.287945	29.899124	37.793577	-10390.218759	-13288.602858	-23678.821617
cp       	0.01-0   	37128.4882	0.0052   	0.0      	5000.000011	37431.287945	29.897104	37.793579	-10389.239595	-13288.603259	-23677.842854
cp       	0.01-0   	37125.9382	0.0053   	0.0      	5000.000011	37431.287945	29.895083	37.793581	-10388.260431	-13288.603667	-23676.864098
cp       	0.01-0   	37123.3882	0.0054   	0.0      	5000.000011	37431.287945	29.893061	37.793583	-10387.281268	-13288.604083	-23675.885351
cp       	0.01-0   	37120.8382	0.0055   	0.0      	5000.000011	37431.287945	29.891039	37.793585	-10386.302104	-13288.604507	-23674.906611
cp       	0.01-0   	37118.2882	0.0056   	0.0      	5000.000011	37431.287945	29.889017	37.793587	-10385.322939	-13288.604939	-23673.927878
cp       	0.01-0   	37115.7382	0.0057   	0.0      	5000.000011	37431.287945	29.886995	37.793589	-10384.343775	-13288.605377	-23672.949152
cp       	0.01-0   	37113.1882	0.0058   	0.0      	5000.000011	37431.287945	29.884972	37.793591	-10383.364611	-13288.605824	-23671.970435
cp       	0.01-0   	37110.6382	0.0059   	0.0      	5000.000011	37431.287945	29.882948	37.793593	-10382.385448	-13288.60628	-23670.991728
cp       	0.01-0   	37108.0882	0.006    	0.0      	5000.000011	37431.287945	29.880924	37.793595	-10381.406284	-13288.606742	-23670.013026
cp       	0.01-0   	37105.5382	0.0061   	0.0      	5000.000011	37431.287945	29.8789  	37.793597	-10380.42712	-13288.607212	-23669.034332
cp       	0.01-0   	37102.9882	0.0062   	0.0      	5000.000011	37431.287945	29.876875	37.793599	-10379.447956	-13288.60769	-23668.055646
cp       	0.01-0   	37100.4382	0.0063   	0.0      	5000.000011	37431.287945	29.87485 	37.793602	-10378.468792	-13288.608177	-23667.076969
