

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   41036.67  0.0       0.0       5000.0    28711.24  28.26     42.07     -8761.9   -14600.56 -23362.46
lh        0.0-0.01  40626.3   0.0       63.94     4999.99   28711.25  28.0      42.28     -8719.78  -14721.56 -23441.34
lh        0.0-0.02  40215.94  0.0       127.89    5000.01   28711.22  27.74     42.48     -8677.68  -14841.94 -23519.62
lh        0.0-0.03  39805.57  0.0       191.83    5000.0    28711.24  27.48     42.68     -8635.56  -14962.37 -23597.93
lh        0.0-0.04  39395.2   0.0       255.77    4999.98   28711.25  27.22     42.88     -8594.04  -15083.37 -23677.41
lh        0.0-0.05  38984.84  0.0       319.72    5000.01   28711.23  26.97     43.07     -8551.95  -15203.76 -23755.71
lh        0.0-0.06  38574.47  0.0       383.66    5000.0    28711.24  26.71     43.26     -8509.83  -15324.75 -23834.58
lh        0.0-0.07  38164.1   0.0       447.6     4999.98   28711.25  26.45     43.44     -8467.69  -15445.17 -23912.86
lh        0.0-0.08  37753.74  0.0       511.55    5000.01   28711.23  26.19     43.62     -8426.22  -15565.56 -23991.78
lh        0.0-0.09  37343.37  0.0       575.49    4999.99   28711.24  25.93     43.8      -8384.08  -15686.56 -24070.64
lh        0.0-0.1   36933.0   0.0       639.44    5000.01   28711.22  25.67     43.98     -8341.99  -15806.95 -24148.94
lh        0.0-0.11  36522.64  0.0       703.38    5000.01   28711.23  25.41     44.15     -8299.88  -15927.36 -24227.24
lh        0.0-0.12  36112.27  0.0       767.32    4999.99   28711.24  25.15     44.32     -8258.35  -16048.36 -24306.71
lh        0.0-0.13  35701.9   0.0       831.27    5000.01   28711.22  24.89     44.49     -8223.58  -16168.75 -24392.33
lh        0.0-0.14  35291.54  0.0       895.21    5000.0    28711.23  24.63     44.65     -8216.86  -16289.17 -24506.03
lh        0.0-0.15  34881.17  0.0       959.15    4999.99   28711.24  24.37     44.81     -8228.44  -16410.17 -24638.61
lh        0.0-0.16  34470.8   0.0       1023.1    5000.01   28711.22  24.11     44.97     -8252.88  -16530.56 -24783.44
lh        0.0-0.17  34060.44  0.0       1087.04   5000.0    28711.23  23.85     45.12     -8289.49  -16651.55 -24941.04
lh        0.0-0.18  33650.07  0.0       1150.98   4999.99   28711.24  23.59     45.27     -8336.48  -16771.97 -25108.45
lh        0.0-0.19  33239.7   0.0       1214.93   5000.01   28711.22  23.33     45.42     -8391.43  -16892.36 -25283.79
lh        0.0-0.2   32829.34  0.0       1278.87   5000.0    28711.23  23.07     45.57     -8454.9   -17013.36 -25468.26
lh        0.0-0.21  32418.97  0.0       1342.81   4999.99   28711.24  22.81     45.71     -8525.08  -17133.78 -25658.86
lh        0.0-0.22  32008.6   0.0       1406.76   5000.01   28711.23  22.55     45.86     -8602.0   -17254.18 -25856.18
lh        0.0-0.23  31598.24  0.0       1470.7    5000.0    28711.23  22.3      46.0      -8685.0   -17375.16 -26060.16
lh        0.0-0.24  31187.87  0.0       1534.64   4999.99   28711.25  22.04     46.13     -8773.49  -17495.59 -26269.08
lh        0.0-0.25  30777.5   0.0       1598.59   5000.01   28711.23  21.78     46.27     -8866.89  -17615.98 -26482.87
lh        0.0-0.26  30367.14  0.0       1662.53   5000.0    28711.23  21.52     46.4      -8965.15  -17736.97 -26702.12
lh        0.0-0.27  29956.77  0.0       1726.47   4999.99   28711.25  21.26     46.53     -9068.29  -17857.4  -26925.69
lh        0.0-0.28  29546.4   0.0       1790.42   5000.01   28711.23  21.0      46.66     -9175.12  -17978.36 -27153.48
lh        0.0-0.29  29136.04  0.0       1854.36   5000.0    28711.24  20.74     46.79     -9286.19  -18098.78 -27384.97
lh        0.0-0.3   28725.67  0.0       1918.3    4999.99   28711.25  20.48     46.91     -9400.93  -18219.2  -27620.13
lh        0.0-0.31  28315.3   0.0       1982.25   5000.0    28711.23  20.22     47.04     -9519.35  -18340.17 -27859.52
lh        0.0-0.32  27904.94  0.0       2046.19   5000.0    28711.24  19.96     47.16     -9640.81  -18460.59 -28101.4 
lh        0.0-0.33  27494.57  0.0       2110.14   5000.02   28711.22  19.7      47.28     -9765.34  -18580.98 -28346.32
lh        0.0-0.34  27084.2   0.0       2174.08   5000.0    28711.23  19.44     47.4      -9892.88  -18701.97 -28594.85
lh        0.0-0.35  26673.84  0.0       2238.02   5000.0    28711.24  19.18     47.51     -10023.5  -18822.39 -28845.89
