time      	proj_id   	c_fixed   	c_low     	c_high    	d_low     	d_high    	disc_rate 	b_t_enpv  	o_income  	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
2025-10-07 00:50:38	005       	-15000    	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	tm        	17088.0917	0.75      	2132.6463 	5000.0    	27431.28795637	0.37637492	40.47801875	-3890.38525661	-15690.62724637	-19581.01250298
2025-10-07 00:50:36	004       	-7500     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	ls        	41451.3602	0         	0         	5000.0    	34931.28795637	30.74674537	36.5607217	-10602.28535155	-12401.06032462	-23003.34567617
2025-10-07 00:50:36	004       	-7500     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	cp        	20830.4477	0.7365    	0         	5000.0    	34931.28795637	6.01779861	37.69557278	-5160.36144581	-14420.65105717	-19581.01250298
2025-10-07 00:50:36	004       	-7500     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	lh        	41451.3602	0         	0         	5000.0    	34931.28795637	30.74674537	36.5607217	-10602.28535155	-12401.06032462	-23003.34567617
2025-10-07 00:50:36	004       	-7500     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	tm        	19638.2495	0.75      	168.2087  	5000.0    	34931.28795637	3.878737  	38.23415148	-4815.98921484	-14765.02328814	-19581.01250298
2025-10-07 00:50:35	003       	-2500     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	ls        	33070.8161	0         	0         	5000.0    	39931.28795637	29.25653206	38.86086972	-10297.13056598	-14176.12518053	-24473.25574651
2025-10-07 00:50:35	003       	-2500     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	cp        	13707.6674	0.8419    	0         	5000.0    	39931.28795637	0         	39.99571854	-3096.22015704	-16484.79234595	-19581.01250298
2025-10-07 00:50:35	003       	-2500     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	lh        	33070.8161	0         	0         	5000.0    	39931.28795637	29.25653206	38.86086972	-10297.13056598	-14176.12518053	-24473.25574651
2025-10-07 00:50:35	003       	-2500     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	tm        	10956.6113	0.875     	411.508   	5000.0    	39931.28795637	0         	40.97894582	-2253.73165823	-17327.28084474	-19581.01250298
2025-10-07 00:50:34	002       	-1000     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	ls        	30556.6529	0         	0         	5000.0    	41431.28795637	28.80946807	39.43518825	-10335.67012991	-14708.64463731	-25044.31476722
2025-10-07 00:50:34	002       	-1000     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	cp        	11776.3749	0.8735    	0         	5000.0    	41431.28795637	0         	40.57003865	-2476.97377595	-17104.03872703	-19581.01250298
2025-10-07 00:50:34	002       	-1000     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	lh        	30556.6529	0         	0         	5000.0    	41431.28795637	28.80946807	39.43518825	-10335.67012991	-14708.64463731	-25044.31476722
2025-10-07 00:50:34	002       	-1000     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	tm        	9105.5539 	0.9062    	406.8573  	5000.0    	41431.28795637	0         	41.47668764	-1644.01114904	-17937.00135394	-19581.01250298
2025-10-07 00:50:32	001       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	ls        	37261.0882	0         	0         	5000.0    	37431.28795637	30.00163871	37.79353069	-10440.15611825	-13288.59275258	-23728.74887083
2025-10-07 00:50:32	001       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	cp        	17137.2768	0.7892    	0         	5000.0    	37431.28795637	0.45122733	38.92838196	-4128.28845174	-15452.72405124	-19581.01250298
