type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     	B_CVaR    	O_CVaR    	T_CVaR    
lh        	0.0-0.18  	30701.0231	0.0       	1394.1523 	5106.90467225	5106.90467225	27.16119613	0         	-10743.50916896	-4343.12092802	-15086.63009698	-12533.96012459	-4470.5849714	-17004.54509599
lh        	0.0-0.19  	30326.6204	0.0       	1471.6052 	5106.90467225	5106.90467225	27.02891853	0         	-10822.42465008	-4483.68223506	-15306.10688514	-12671.45936679	-4614.37270701	-17285.83207379
lh        	0.0-0.2   	29952.2176	0.0       	1549.0581 	5106.90467225	5106.90467225	26.89664093	0         	-10905.55233199	-4624.24354211	-15529.7958741	-12811.90235331	-4758.16044261	-17570.06279593
lh        	0.0-0.21  	29577.8149	0.0       	1626.511  	5106.90467225	5106.90467225	26.76436333	0         	-10992.62975568	-4764.80484915	-15757.43460483	-12955.10219123	-4901.94817822	-17857.05036945
lh        	0.0-0.22  	29203.4122	0.0       	1703.9639 	5106.90467225	5106.90467225	26.63208573	1.58487678	-11083.42000601	-4905.36615619	-15988.7861622	-13100.89069562	-5045.73591383	-18146.62660944
lh        	0.0-0.23  	28829.0095	0.0       	1781.4168 	5106.90467225	5106.90467225	26.49980813	4.01165013	-11177.70845195	-5045.92746324	-16223.63591518	-13249.11590462	-5189.52364943	-18438.63955405
lh        	0.0-0.24  	28454.6068	0.0       	1858.8697 	5106.90467225	5106.90467225	26.36753053	6.23619237	-11275.29998621	-5186.48877028	-16461.78875649	-13399.63999717	-5333.31138504	-18732.95138221
lh        	0.0-0.25  	28080.204 	0.0       	1936.3227 	5106.90467225	5106.90467225	26.23525293	8.28277123	-11376.01667762	-5327.05007732	-16703.06675494	-13552.33753773	-5477.09912065	-19029.43665837
lh        	0.0-0.26  	27705.8013	0.0       	2013.7756 	5106.90467225	5106.90467225	26.10297533	10.17192095	-11479.69576561	-5467.61138437	-16947.30714998	-13707.09398821	-5620.88685625	-19327.98084446
lh        	0.0-0.27  	27331.3986	0.0       	2091.2285 	5106.90467225	5106.90467225	25.97069774	11.92113366	-11586.1879398	-5608.1726914	-17194.3606312	-13863.80443974	-5764.67459186	-19628.4790316
lh        	0.0-0.28  	26956.9959	0.0       	2168.6814 	5106.90467225	5106.90467225	25.83842014	13.54540259	-11695.35585757	-5748.73399844	-17444.08985601	-14022.37252619	-5908.46232747	-19930.83485365
